Full Name,Born,Bats,Bowls,Code
John Augustine Snow,1941-10-13,Right Handed,Right Arm Fast,1651
Kenneth Shuttleworth,1944-11-13,Right Handed,Right Arm Fast Medium,1589
Peter Lever,1940-09-17,Right Handed,Right Arm Fast Medium,1005
Ian Ritchie Redpath,1941-11-05,Right Handed,Right Arm Medium,1452
Walter J Edwards,1949-12-23,Left Handed,,501
Ian Michael Chappell,1943-09-26,Right Handed,Right Arm Leg Break,312
Gregory Stephen Chappell,1948-07-08,Right Handed,Right Arm Medium,311
Ross Edwards,1942-01-12,Right Handed,,500
Kevin Douglas Walters,1945-12-21,Right Handed,Right Arm Medium,1847
Rodney William Marsh,1947-11-11,Left Handed,,1089
Terrence J Jenner,1944-08-09,Right Handed,Right Arm Leg Break,875
Maxwell Henry Norman Walker,1948-12-09,Right Handed,Right Arm Fast Medium,1839
Jeffrey Robert Thomson,1950-08-16,Right Handed,Right Arm Fast,1745
Alan G Hurst,1950-07-15,Right Handed,Right Arm Fast,817
Graeme M Wood,1956-06-11,Left Handed,,1929
Andrew M J Hilditch,1956-05-20,Right Handed,,761
Allan R Border,1955-07-27,Left Handed,Left Arm Orthodox,209
Graham N Yallop,1952-07-10,Left Handed,Left Arm Medium,1952
Kimberley John Hughes,1954-01-26,Right Handed,,810
Philip H Carlson,1951-08-08,Right Handed,Right Arm Medium,296
Trevor J Laughlin,1951-01-30,Left Handed,Right Arm Medium,987
John A Maclean,1946-04-27,Right Handed,,1050
Rodney M Hogg,1951-05-03,Right Handed,Right Arm Fast,778
Geoffrey Dymock,1945-07-21,Left Handed,Left Arm Medium Fast,488
John M Brearley,1942-04-28,Right Handed,,230
Derek W Randall,1951-02-24,Right Handed,Right Arm Medium,1436
Graham A Gooch,1953-07-23,Right Handed,Right Arm Medium,627
David I Gower,1957-01-04,Left Handed,Right Arm Off Break,634
Ian Terence Botham,1955-11-24,Right Handed,Right Arm Medium Fast,212
David L Bairstow,1951-01-09,Right Handed,,118
Christopher Middleton Old,1948-12-22,Left Handed,Right Arm Fast Medium,1298
Robert George Dylan Willis,1949-05-30,Right Handed,Right Arm Fast,1917
Michael Hendrick,1948-10-22,Right Handed,Right Arm Fast Medium,752
